name,created,description,formats
Ausbaugewerbe (Jahreszahlen),2023-09-26 12:19:52.214728,"Daten zu den Betrieben, tätigen Personen, Umsatz, Arbeitstunden und Bruttoentgeltsumme im Ausbaugewerbe.","CSV, JSON"
Bauhauptgewerbe (Jahreszahlen),2023-09-26 12:19:51.946005,"Daten zu den Betrieben, tätigen Personen, Umsatz, Arbeitstunden und Bruttoentgeltsumme im Hoch- und Tiefbau.","CSV, JSON"
Verarbeitendes Gewerbe (Jahreszahlen),2023-09-26 12:19:51.740040,"Daten zu den Betrieben, tätigen Personen, Umsatz, Arbeitstunden und Bruttoentgeltsumme im Verarbeitenden Gewerbe.","CSV, JSON"
Beschäftigte (Jahreszahlen),2023-09-26 12:19:49.910417,Daten zu den Sozialversicherungspflichtig Beschäftigten in den Wirtschaftsabteilungen nach der Klassifikation der Wirtschaftszweige (WZ 2008) am Arbeitsort und am Wohnort Leipzig.,"CSV, JSON"
Grundsicherung für Arbeitssuchende (Jahreszahlen),2023-09-26 12:19:44.188253,"Daten zu Empfängern von Sozialleistungen, Bedarfsgemeinschaften und Leistungen.","CSV, JSON"
Steuereinnahmen (Jahreszahlen),2023-09-26 12:19:35.932580,"Daten zu den Steuereinnahmen der Stadt Leipzig: Grundsteuer Gewerbesteuer, Einkommensteuer, Umsatzsteuer, Vergnügungsteuer, Hundesteuer, Zweitwohnungssteuer.","CSV, JSON"
Abfallentsorgung (Jahreszahlen),2023-09-26 12:19:33.684668,Daten zur Abfallentsorgung durch die Stadtreinigung Leipzig: Anzahl der Abfallbehälter und entsorgte Abfallmengen,"CSV, JSON"
Bäder (Jahreszahlen),2023-09-26 12:19:32.088063,Daten zu den Besuchern in Hallen- und Freibädern.,"CSV, JSON"
Zoo Leipzig (Jahreszahlen),2023-09-26 12:19:31.781836,Daten zu Besuchern und zum Tierbestand im Zoo Leipzig.,"CSV, JSON"
Theater (Jahreszahlen),2023-09-26 12:19:31.275170,Daten zu Besuchern von Veranstaltungen in den Leipziger (Musik-)Theatern und Kabaretts.,"CSV, JSON"
Museen (Jahreszahlen),2023-09-26 12:19:31.030871,Daten zu Besuchern in den Leiziger Museen.,"CSV, JSON"
Luftverkehr (Jahreszahlen),2023-09-26 12:19:30.727766,Daten zum Flugverkehr am Flughafen Leipzig-Halle (Passagier- Frachtflüge).,"CSV, JSON"
Verkehrsunfälle (Jahreszahlen),2023-09-26 12:19:30.106912,Daten zu Personenschäden und Ursachen bei Straßenverkehrsunfällen.,"CSV, JSON"
